Meal Plan Name,Total Calories,Protein (g),Fat (g),Carbohydrates (g),Sugar (g),Fiber (g),Serving Size (g),Meal 1 (Breakfast),Meal 2 (Lunch),Meal 3 (Dinner)
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
Maintenance Plan Day 1,2000,140,70,220,30,28,500,Smoothie with protein powder,Turkey wrap with veggies,Fish with brown rice and veggies
Weight Loss Plan Day 2,1400,110,45,150,18,32,380,Greek yogurt with almonds,Quinoa with mixed vegetables,Tofu stir-fry with rice
Muscle Gain Plan Day 2,2600,185,95,310,42,36,620,Eggs with whole grain toast,Grilled salmon with quinoa,Pasta with chicken and veggies
Maintenance Plan Day 2,2100,145,75,230,32,29,510,Omelette with vegetables,Chicken breast with sweet potato,Steak with potatoes and salad
Weight Loss Plan Day 1,1500,120,50,160,20,30,400,Oatmeal with berries,Grilled chicken salad,Salmon with roasted vegetables
Muscle Gain Plan Day 1,2500,180,90,300,40,35,600,Scrambled eggs with avocado,Steak with brown rice,Grilled chicken with rice
